metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
%_O10,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_J99,< 10,< 10,< 10,< 10,44.0
%_J99,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_J03,< 10,< 10,< 10,< 10,115.0
%_J03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R60,15.0,43.0,12.0,32.0,4195.0
%_R60,0.32%,0.92%,0.26%,0.69%,0.27%
N_N04,< 10,< 10,< 10,< 10,197.0
%_N04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M00,< 10,< 10,< 10,< 10,147.0
%_M00,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_K11,< 10,< 10,< 10,< 10,435.0
%_K11,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_T61,< 10,< 10,< 10,< 10,< 10
%_T61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R15,< 10,< 10,< 10,< 10,202.0
%_R15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T26,< 10,< 10,< 10,< 10,17.0
%_T26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R57,< 10,108.0,< 10,112.0,1097.0
%_R57,< 0.21%,2.31%,< 0.21%,2.4%,0.07%
N_L72,< 10,< 10,< 10,< 10,235.0
%_L72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R17,< 10,< 10,< 10,< 10,356.0
%_R17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_J61,< 10,< 10,< 10,< 10,< 10
%_J61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D81,< 10,< 10,< 10,< 10,42.0
%_D81,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_X02,< 10,< 10,< 10,< 10,< 10
%_X02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_B16,< 10,< 10,< 10,< 10,39.0
%_B16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D22,< 10,< 10,< 10,< 10,383.0
%_D22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_T82,< 10,12.0,< 10,17.0,1751.0
%_T82,< 0.21%,0.26%,< 0.21%,0.36%,0.11%
N_K26,< 10,< 10,< 10,< 10,67.0
%_K26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P94,< 10,< 10,< 10,< 10,18.0
%_P94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D73,< 10,< 10,< 10,< 10,110.0
%_D73,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S42,< 10,< 10,< 10,< 10,2148.0
%_S42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_B86,< 10,< 10,< 10,< 10,87.0
%_B86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_A42,< 10,< 10,< 10,< 10,29.0
%_A42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_X32,< 10,< 10,< 10,< 10,< 10
%_X32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_T30,< 10,< 10,< 10,< 10,152.0
%_T30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
