metric,negative_training_set,positive_training_set,negative_eval_set,positive_eval_set,all_visits
N_S76,< 10,< 10,< 10,< 10,410.0
%_S76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_I61,< 10,< 10,< 10,< 10,395.0
%_I61,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_D40,< 10,< 10,< 10,< 10,< 10
%_D40,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S75,< 10,< 10,< 10,< 10,12.0
%_S75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_B88,< 10,< 10,< 10,< 10,10.0
%_B88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C23,< 10,< 10,< 10,< 10,417.0
%_C23,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_Y79,< 10,< 10,< 10,< 10,< 10
%_Y79,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A17,< 10,< 10,< 10,< 10,< 10
%_A17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R76,< 10,17.0,< 10,19.0,1821.0
%_R76,< 0.21%,0.36%,< 0.21%,0.41%,0.12%
N_H42,< 10,< 10,< 10,< 10,< 10
%_H42,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O09,55.0,71.0,62.0,48.0,20995.0
%_O09,1.18%,1.52%,1.33%,1.03%,1.33%
N_G21,< 10,< 10,< 10,< 10,12.0
%_G21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R90,< 10,< 10,< 10,< 10,1142.0
%_R90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.07%
N_D20,< 10,< 10,< 10,< 10,< 10
%_D20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_D52,< 10,< 10,< 10,< 10,19.0
%_D52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O88,< 10,< 10,< 10,< 10,< 10
%_O88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M94,< 10,< 10,< 10,< 10,267.0
%_M94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_P58,< 10,< 10,< 10,< 10,< 10
%_P58,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_A86,< 10,< 10,< 10,< 10,< 10
%_A86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q50,< 10,< 10,< 10,< 10,< 10
%_Q50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_F55,< 10,< 10,< 10,< 10,< 10
%_F55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_B01,< 10,< 10,< 10,< 10,29.0
%_B01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q65,< 10,< 10,< 10,< 10,386.0
%_Q65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R88,< 10,< 10,< 10,< 10,< 10
%_R88,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N43,< 10,< 10,< 10,< 10,172.0
%_N43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C38,< 10,< 10,< 10,< 10,26.0
%_C38,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T44,< 10,< 10,< 10,< 10,< 10
%_T44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S95,< 10,< 10,< 10,< 10,< 10
%_S95,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_J01,< 10,< 10,< 10,< 10,242.0
%_J01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_N08,< 10,< 10,< 10,< 10,54.0
%_N08,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_S26,< 10,< 10,< 10,< 10,< 10
%_S26,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G46,< 10,< 10,< 10,< 10,91.0
%_G46,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_F05,< 10,17.0,< 10,25.0,208.0
%_F05,< 0.21%,0.36%,< 0.21%,0.54%,0.01%
N_V43,< 10,< 10,< 10,< 10,< 10
%_V43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N07,< 10,< 10,< 10,< 10,< 10
%_N07,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_R73,< 10,94.0,10.0,87.0,3603.0
%_R73,< 0.21%,2.01%,< 0.21%,1.86%,0.23%
N_K21,17.0,48.0,15.0,50.0,5451.0
%_K21,0.36%,1.03%,0.32%,1.07%,0.35%
N_Z78,11.0,130.0,10.0,104.0,4223.0
%_Z78,0.24%,2.78%,< 0.21%,2.23%,0.27%
N_L65,< 10,< 10,< 10,< 10,184.0
%_L65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_L98,< 10,< 10,< 10,11.0,704.0
%_L98,< 0.21%,< 0.21%,< 0.21%,0.24%,0.04%
N_I32,< 10,< 10,< 10,< 10,12.0
%_I32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_P76,< 10,< 10,< 10,< 10,< 10
%_P76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_G25,< 10,< 10,< 10,< 10,417.0
%_G25,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B09,< 10,< 10,< 10,< 10,157.0
%_B09,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_M66,< 10,< 10,< 10,< 10,23.0
%_M66,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z18,< 10,< 10,< 10,< 10,11.0
%_Z18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C51,< 10,< 10,< 10,< 10,179.0
%_C51,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_N40,< 10,43.0,< 10,33.0,2560.0
%_N40,< 0.21%,0.92%,< 0.21%,0.71%,0.16%
N_K55,< 10,< 10,< 10,< 10,261.0
%_K55,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_I51,< 10,62.0,< 10,53.0,3895.0
%_I51,< 0.21%,1.33%,< 0.21%,1.13%,0.25%
N_O90,< 10,< 10,< 10,< 10,147.0
%_O90,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C61,22.0,21.0,28.0,18.0,8235.0
%_C61,0.47%,0.45%,0.6%,0.39%,0.52%
N_C74,< 10,< 10,< 10,< 10,701.0
%_C74,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_V29,< 10,< 10,< 10,< 10,15.0
%_V29,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R50,13.0,271.0,20.0,298.0,7035.0
%_R50,0.28%,5.8%,0.43%,6.38%,0.45%
N_A37,< 10,< 10,< 10,< 10,10.0
%_A37,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W03,< 10,< 10,< 10,< 10,< 10
%_W03,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_P54,< 10,< 10,< 10,< 10,< 10
%_P54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Q64,< 10,< 10,< 10,< 10,112.0
%_Q64,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T62,< 10,< 10,< 10,< 10,< 10
%_T62,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_K13,< 10,< 10,< 10,< 10,312.0
%_K13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_H01,< 10,< 10,< 10,< 10,93.0
%_H01,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_R62,< 10,20.0,< 10,17.0,1606.0
%_R62,< 0.21%,0.43%,< 0.21%,0.36%,0.1%
N_F33,< 10,< 10,< 10,13.0,1268.0
%_F33,< 0.21%,< 0.21%,< 0.21%,0.28%,0.08%
N_K06,< 10,< 10,< 10,< 10,49.0
%_K06,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I86,< 10,< 10,< 10,< 10,153.0
%_I86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B76,< 10,< 10,< 10,< 10,< 10
%_B76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_S14,< 10,< 10,< 10,< 10,53.0
%_S14,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_T20,< 10,< 10,< 10,< 10,< 10
%_T20,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_M76,< 10,< 10,< 10,< 10,1302.0
%_M76,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_M12,< 10,< 10,< 10,< 10,405.0
%_M12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_I12,< 10,< 10,< 10,< 10,552.0
%_I12,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_Z60,< 10,< 10,< 10,< 10,79.0
%_Z60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I72,< 10,< 10,< 10,< 10,751.0
%_I72,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_H93,< 10,< 10,< 10,< 10,675.0
%_H93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_G52,< 10,< 10,< 10,< 10,57.0
%_G52,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_C04,< 10,< 10,< 10,< 10,14.0
%_C04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_V49,< 10,< 10,< 10,< 10,11.0
%_V49,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_D56,< 10,< 10,< 10,< 10,645.0
%_D56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_Z11,< 10,< 10,< 10,12.0,1255.0
%_Z11,< 0.21%,< 0.21%,< 0.21%,0.26%,0.08%
N_M32,< 10,< 10,< 10,< 10,1618.0
%_M32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.1%
N_S19,< 10,< 10,< 10,< 10,22.0
%_S19,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Z01,46.0,233.0,50.0,237.0,20791.0
%_Z01,0.99%,4.99%,1.07%,5.07%,1.32%
N_B65,< 10,< 10,< 10,< 10,< 10
%_B65,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_O04,< 10,< 10,< 10,< 10,< 10
%_O04,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_Z56,< 10,< 10,< 10,< 10,15.0
%_Z56,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_O91,< 10,< 10,< 10,< 10,< 10
%_O91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_J32,< 10,< 10,< 10,< 10,1352.0
%_J32,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.09%
N_I85,< 10,< 10,< 10,< 10,273.0
%_I85,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Q63,< 10,< 10,< 10,< 10,133.0
%_Q63,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I77,12.0,19.0,14.0,25.0,3568.0
%_I77,0.26%,0.41%,0.3%,0.54%,0.23%
N_T18,< 10,< 10,< 10,< 10,218.0
%_T18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_E50,< 10,< 10,< 10,< 10,10.0
%_E50,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_W54,< 10,< 10,< 10,< 10,149.0
%_W54,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_T22,< 10,< 10,< 10,< 10,28.0
%_T22,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_N91,< 10,< 10,< 10,< 10,621.0
%_N91,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_G31,< 10,< 10,< 10,< 10,246.0
%_G31,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S30,< 10,< 10,< 10,< 10,172.0
%_S30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_I30,< 10,< 10,< 10,< 10,114.0
%_I30,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_G98,< 10,< 10,< 10,< 10,31.0
%_G98,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q89,< 10,< 10,< 10,< 10,557.0
%_Q89,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.04%
N_M33,< 10,< 10,< 10,< 10,514.0
%_M33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B94,< 10,< 10,< 10,< 10,51.0
%_B94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_M67,< 10,< 10,< 10,< 10,839.0
%_M67,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.05%
N_N19,< 10,19.0,< 10,23.0,298.0
%_N19,< 0.21%,0.41%,< 0.21%,0.49%,0.02%
N_Z41,< 10,< 10,< 10,< 10,113.0
%_Z41,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_C16,< 10,< 10,< 10,< 10,1218.0
%_C16,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.08%
N_D18,< 10,< 10,< 10,< 10,460.0
%_D18,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_B27,< 10,< 10,< 10,< 10,375.0
%_B27,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_S02,< 10,< 10,< 10,< 10,396.0
%_S02,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.03%
N_D21,10.0,< 10,< 10,< 10,2252.0
%_D21,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.14%
N_K94,< 10,< 10,< 10,< 10,371.0
%_K94,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_K76,< 10,26.0,12.0,17.0,2640.0
%_K76,< 0.21%,0.56%,0.26%,0.36%,0.17%
N_P80,< 10,< 10,< 10,< 10,< 10
%_P80,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_F13,< 10,< 10,< 10,< 10,89.0
%_F13,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D43,< 10,< 10,< 10,< 10,134.0
%_D43,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_S86,< 10,< 10,< 10,< 10,272.0
%_S86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_A60,< 10,10.0,< 10,< 10,297.0
%_A60,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_R34,< 10,< 10,< 10,< 10,101.0
%_R34,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_J39,< 10,< 10,< 10,< 10,389.0
%_J39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Y24,< 10,< 10,< 10,< 10,< 10
%_Y24,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C39,< 10,< 10,< 10,< 10,< 10
%_C39,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N25,< 10,18.0,< 10,15.0,1212.0
%_N25,< 0.21%,0.39%,< 0.21%,0.32%,0.08%
N_Q28,< 10,< 10,< 10,< 10,292.0
%_Q28,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_H17,< 10,< 10,< 10,< 10,25.0
%_H17,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_Q44,< 10,< 10,< 10,< 10,235.0
%_Q44,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_B15,< 10,< 10,< 10,< 10,< 10
%_B15,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N48,< 10,< 10,< 10,< 10,371.0
%_N48,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.02%
N_Y93,< 10,< 10,< 10,< 10,22.0
%_Y93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_I40,< 10,29.0,< 10,32.0,191.0
%_I40,< 0.21%,0.62%,< 0.21%,0.69%,0.01%
N_C83,< 10,19.0,12.0,16.0,3082.0
%_C83,< 0.21%,0.41%,0.26%,0.34%,0.2%
N_R75,< 10,< 10,< 10,< 10,< 10
%_R75,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_N33,< 10,< 10,< 10,< 10,< 10
%_N33,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
N_C93,< 10,< 10,< 10,< 10,120.0
%_C93,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.01%
N_D72,< 10,42.0,< 10,36.0,1769.0
%_D72,< 0.21%,0.9%,< 0.21%,0.77%,0.11%
N_Q92,< 10,< 10,< 10,< 10,35.0
%_Q92,< 0.21%,< 0.21%,< 0.21%,< 0.21%,0.0%
N_R86,< 10,< 10,< 10,< 10,< 10
%_R86,< 0.21%,< 0.21%,< 0.21%,< 0.21%,< 6.36E4%
